matching_idx,policy_area,subtopic_1,subtopic_2
4896,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
4897,Economics and Public Finance,Increasing Government Spending Accountability,Defense Spending Cuts
4898,Economics and Public Finance,Increasing Government Spending Accountability,Defense Spending Cuts
4899,Economics and Public Finance,Increasing Government Spending Accountability,Government Funding Cuts
4900,Economics and Public Finance,Increasing Government Spending Accountability,Healthcare Mandates
4901,Economics and Public Finance,Increasing Pandemic Relief Funding,Vaccine Funding
4902,Economics and Public Finance,Increasing Government Spending Accountability,Government Funding Negotiations
4903,Economics and Public Finance,Increasing Government Spending Accountability,Government Funding
4904,Economics and Public Finance,Increasing Government Spending Accountability,Government Funding
4905,Economics and Public Finance,Increasing Government Spending Accountability,Government Funding
4906,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
4907,Economics and Public Finance,Increasing Government Spending Accountability,Government Funding
4908,Economics and Public Finance,Increasing Government Spending Accountability,Funding Accountability
4909,Economics and Public Finance,Increasing Government Spending Accountability,Government Accountability
4910,Economics and Public Finance,Misc.,Misc.
4911,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
4912,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
4913,Economics and Public Finance,Increasing Government Spending Accountability,Full-year Appropriations Process
4914,Economics and Public Finance,Expanding Voting Access,Voting Access
4915,Economics and Public Finance,Expanding Voting Access,Voting Access
4916,Native Americans,Expanding Native American Land Rights,Native American Land Rights
4917,Armed Forces and National Security,Increasing Environmental Funding,Government Funding
4918,Armed Forces and National Security,Misc.,Misc.
4919,Armed Forces and National Security,Military Accountability Measures,Bureau of Prisons Reform
4920,Armed Forces and National Security,Military Accountability Measures,China Threats to Taiwan
4921,Armed Forces and National Security,Misc.,Misc.
4922,Armed Forces and National Security,Increasing Defense Funding,National Security Funding
4923,Armed Forces and National Security,Military Accountability Measures,National Security Nominations
4924,Economics and Public Finance,Increasing Government Spending Accountability,Tax and Spending Cuts
4925,Transportation and Public Works,Increasing Infrastructure Funding,Transportation Funding Equality
4926,Health,Expanding Health Equity Initiatives,Medicare Sequester Cuts
4927,Health,Expanding Health Equity Initiatives,Healthcare Funding Cuts
4928,Health,Expanding Health Equity Initiatives,Healthcare Provider Access
4929,Health,Expanding Health Equity Initiatives,Medicare Reimbursement Cuts
4930,Health,Expanding Health Equity Initiatives,Medicare Cuts
4931,Health,Increasing Healthcare Funding,Debt Ceiling Increase
4932,Health,Expanding Health Equity Initiatives,Healthcare Protections
4933,Health,Expanding Health Equity Initiatives,Medicine Reimbursement Cuts
4934,Health,Expanding Health Equity Initiatives,Medicine Safety Net Support
4935,Health,Expanding Health Equity Initiatives,Healthcare Reimbursement Cuts
4936,Health,Increasing Healthcare Funding,Debt Ceiling Increase
4937,Health,Increasing Healthcare Funding,Debt Ceiling Crisis
4938,Health,Expanding Health Equity Initiatives,Tax Cuts for the Poor
4939,Economics and Public Finance,Increasing Government Spending Accountability,Government Mandates on Childcare
4940,Economics and Public Finance,Increasing Government Spending Accountability,Tax and Spending Spending Spending
4941,Economics and Public Finance,Increasing Government Spending Accountability,Affordable Childcare Access
4942,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
4943,Armed Forces and National Security,Misc.,Misc.
4944,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
4945,Armed Forces and National Security,Misc.,Misc.
4946,Armed Forces and National Security,Misc.,Misc.
4947,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Housing Access
4948,Government Operations and Politics,Strengthening Government Accountability,National Aeronautics Authority
4949,Government Operations and Politics,Strengthening Government Accountability,NASA Authority Extension
4950,Government Operations and Politics,Strengthening Government Accountability,NASA Leasing Authority Extension
4951,Government Operations and Politics,Strengthening Government Accountability,Support for NASA Manufacturing
4952,Government Operations and Politics,Strengthening Government Accountability,NASA Leasing Reform
4953,Government Operations and Politics,Strengthening Government Accountability,NASA Funding Oversight
4954,Government Operations and Politics,Strengthening Government Accountability,NASA Leasing Extension
4955,Government Operations and Politics,Strengthening Government Accountability,NASA Leasing Authority
4956,Transportation and Public Works,Misc.,Misc.
4957,Transportation and Public Works,Aviation Safety Oversight Expansions,Supply Chain Reform
4958,Transportation and Public Works,Misc.,Misc.
4959,Transportation and Public Works,Aviation Safety Oversight Expansions,Supply Shipping Reform
4960,Transportation and Public Works,Aviation Safety Oversight Expansions,Agricultural Export Protection
4961,Transportation and Public Works,Misc.,Misc.
4962,Transportation and Public Works,Misc.,Misc.
4963,Transportation and Public Works,Aviation Safety Oversight Expansions,Supply Chain Reform
4964,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
4965,Transportation and Public Works,Misc.,Misc.
4966,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Supply Chain Regulation
4967,Transportation and Public Works,Aviation Safety Oversight Expansions,Exports Regulation
4968,Economics and Public Finance,Increasing Government Spending Accountability,Libor Regulation Reform
4969,Economics and Public Finance,Increasing Government Spending Accountability,Libor Rate Transition
4970,Economics and Public Finance,Increasing Government Spending Accountability,Libor Regulation
4971,Economics and Public Finance,Increasing Government Spending Accountability,Libor Regulation Reform
4972,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
4973,Economics and Public Finance,Increasing Government Spending Accountability,Interest Rate Legislation
4974,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
4975,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
4976,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
4977,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
4978,Economics and Public Finance,Increasing Government Spending Accountability,Regulatory Preference
4979,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
4980,Economics and Public Finance,Increasing Government Spending Accountability,Libor Regulations
4981,Economics and Public Finance,Increasing Government Spending Accountability,Regulatory Oversight
4982,Economics and Public Finance,Increasing Government Spending Accountability,Regulatory Authority
4983,Agriculture and Food,Increasing Food Accessibility,Cattle Market Transparency
4984,Agriculture and Food,Increasing Food Accessibility,Cattle Market Transparency
4985,Agriculture and Food,Increasing Food Accessibility,Livestock Marketing Transparency
4986,Agriculture and Food,Increasing Food Accessibility,Cattle Contract Transparency
4987,Agriculture and Food,Increasing Food Accessibility,Agricultural Finance Reform
4988,Agriculture and Food,Increasing Food Accessibility,Cattle Market Regulation
4989,Agriculture and Food,Increasing Food Accessibility,Cattle Market Transparency
4990,Agriculture and Food,Increasing Food Accessibility,Cattle Market Transparency
4991,Agriculture and Food,Increasing Food Accessibility,Food Pricing Transparency
4992,Agriculture and Food,Increasing Food Accessibility,Agricultural Legislation
4993,Public Lands and Natural Resources,Expanding Wilderness Protections,Wilderness Protections
4994,Public Lands and Natural Resources,Expanding Wilderness Protections,Forest Restoration Funding
4995,Public Lands and Natural Resources,Expanding Wilderness Protections,Forest Restoration Funding
4996,Public Lands and Natural Resources,Expanding Wilderness Protections,Forest Restoration Funding
4997,Public Lands and Natural Resources,Expanding Wilderness Protections,Forest Restoration Funding
4998,Public Lands and Natural Resources,Expanding Wilderness Protections,Forest Management Funding
4999,Public Lands and Natural Resources,Increasing Wildfire Management Funding,Wildfire Funding
5000,Animals,Strengthening Animal Protection Laws,Chronic Wasting Disease Prevention
5001,Animals,Strengthening Animal Protection Laws,Animal Protection Legislation
5002,Animals,Strengthening Animal Protection Laws,C Chronic Wasting Disease Research
5003,Animals,Strengthening Animal Protection Laws,CWD Research Funding
5004,Animals,Strengthening Animal Protection Laws,CWD Research Funding
5005,Animals,Strengthening Animal Protection Laws,Animal Protection Legislation
5006,International Affairs,Misc.,Misc.
5007,International Affairs,Expanding Human Rights Protections,Human Rights Accountability
5008,International Affairs,Misc.,Misc.
5009,International Affairs,Expanding Human Rights Protections,Human Rights Protections
5010,International Affairs,Misc.,Misc.
5011,International Affairs,Misc.,Misc.
5012,International Affairs,Expanding Human Rights Protections,Human Rights Protection
5013,International Affairs,Misc.,Misc.
5014,International Affairs,Misc.,Misc.
5015,International Affairs,Expanding Human Rights Protections,Chinese Communist Party Accountability
5016,International Affairs,Misc.,Misc.
5017,International Affairs,Misc.,Misc.
5018,International Affairs,Increasing Economic Sanctions,Imports from Xinjiang
5019,International Affairs,Expanding Human Rights Protections,Uyghur Rights Protection
5020,International Affairs,Expanding Human Rights Protections,Human Rights Accountability
5021,International Affairs,Misc.,Misc.
5022,International Affairs,Expanding Human Rights Protections,Human Rights in China
5023,International Affairs,Misc.,Misc.
5024,International Affairs,Expanding Human Rights Protections,China Human Rights Accountability
5025,Health,Expanding Health Equity Initiatives,Research Funding for ALS
5026,Health,Expanding Health Equity Initiatives,Patient Access to Therapies
5027,Health,Expanding Health Equity Initiatives,ALS Access to Therapies
5028,Health,Expanding Health Equity Initiatives,ALS Cure Access
5029,Health,Expanding Health Equity Initiatives,ALS Access Access
5030,Health,Expanding Health Equity Initiatives,ALS Therapies Access
5031,Health,Expanding Health Equity Initiatives,ALS Cures Act
5032,Health,Expanding Health Equity Initiatives,ALS Access Access
5033,Health,Expanding Health Equity Initiatives,Health Equity Initiatives
5034,Health,Expanding Health Equity Initiatives,ALS Research Funding
5035,Health,Expanding Health Equity Initiatives,Health Equity Initiatives
5036,Health,Expanding Health Equity Initiatives,Health Equity Initiatives
5037,Health,Improving Maternal and Infant Health,Stillbirth Prevention
5038,Health,Improving Maternal and Infant Health,Stillbirth Prevention Programs
5039,Health,Improving Maternal and Infant Health,Maternal and Infant Health
5040,Health,Improving Maternal and Infant Health,Stillbirth Research Funding
5041,Health,Expanding Women's Healthcare Rights,Women's Healthcare Rights
5042,Health,Expanding Health Equity Initiatives,Deaf and Hard-of-hearing Care
5043,Health,Expanding Health Equity Initiatives,Hearing Loss Prevention Programs
5044,Health,Expanding Health Equity Initiatives,Hearing Loss Prevention
5045,Health,Improving Maternal and Infant Health,Birth Defects Prevention
5046,Health,Improving Maternal and Infant Health,Birth Defect Research Funding
5047,Health,Expanding Health Equity Initiatives,Disability Services Funding
5048,Health,Improving Maternal and Infant Health,Birth Defect Research Funding
5049,Health,Expanding Health Equity Initiatives,Heart Disease Research Funding
5050,Health,Expanding Health Equity Initiatives,Valvular Heart Disease Research
5051,Health,Expanding Health Equity Initiatives,Heart Disease Research Funding
5052,Health,Expanding Health Equity Initiatives,Valvular Heart Disease Research
5053,Health,Expanding Health Equity Initiatives,Health Equity Initiatives
5054,Health,Expanding Health Equity Initiatives,Heart Disease Awareness
5055,Health,Expanding Health Equity Initiatives,Heart Disease Research Funding
5056,Health,Expanding Health Equity Initiatives,Heart Disease Research Funding
5057,Health,Expanding Health Equity Initiatives,Heart Disease Research
5058,Health,Expanding Health Equity Initiatives,Health Equity Initiatives
5059,Health,Expanding Health Equity Initiatives,Health Equity Initiatives
5060,Health,Expanding Health Equity Initiatives,Heart Disease Research Funding
5061,Health,Expanding Health Equity Initiatives,Health Equity Legislation
5062,Health,Expanding Women's Healthcare Rights,Women's Healthcare Rights
5063,Health,Expanding Health Equity Initiatives,Health Equity Initiatives
5064,Health,Expanding Health Equity Initiatives,Mental Health Access
5065,Health,Expanding Health Equity Initiatives,Healthcare Provider Accountability
5066,Health,Expanding Health Equity Initiatives,Healthcare Hero Support
5067,Health,Expanding Health Equity Initiatives,Healthcare Workers' Resources
5068,Health,Expanding Health Equity Initiatives,Healthcare Provider Protection
5069,Health,Expanding Health Equity Initiatives,Healthcare Provider Protection
5070,Health,Expanding Health Equity Initiatives,Healthcare Provider Protection
5071,Health,Expanding Health Equity Initiatives,Healthcare Worker Support
5072,Health,Expanding Health Equity Initiatives,Public Health Education Funding
5073,Health,Expanding Health Equity Initiatives,Oral Health Literacy Programs
5074,Health,Expanding Health Equity Initiatives,Oral Health Literacy
5075,Health,Expanding Health Equity Initiatives,Oral Health Literacy
5076,Health,Expanding Health Equity Initiatives,Dental Health Funding
5077,Economics and Public Finance,Increasing Government Spending Accountability,Build Back Better Act
5078,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Law Enforcement Accountability
5079,Education,Increasing Education Funding,Education Funding
5080,Government Operations and Politics,Misc.,Misc.
5081,Government Operations and Politics,Misc.,Misc.
5082,Government Operations and Politics,Strengthening Government Accountability,Government Reform
5083,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5084,Government Operations and Politics,Increasing Sanctions on Russia,Russian Collusion Investigation
5085,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5086,Government Operations and Politics,Strengthening Government Accountability,Presidential Accountability
5087,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5088,Government Operations and Politics,Strengthening Election Integrity,Foreign Election Interference Reform
5089,Government Operations and Politics,Strengthening Government Accountability,Bipartisan Reforms
5090,Government Operations and Politics,Strengthening Government Accountability,Democracy Reform
5091,Government Operations and Politics,Strengthening Government Accountability,Separation of Powers
5092,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5093,Government Operations and Politics,Strengthening Government Accountability,Executive Authority
5094,Government Operations and Politics,Strengthening Government Accountability,Executive Accountability
5095,Government Operations and Politics,Voting Rights Expansion,Voter Registration Enforcement
5096,Government Operations and Politics,Voting Rights Expansion,Voting Rights Enforcement
5097,Government Operations and Politics,Strengthening Government Accountability,Protecting Democracy
5098,Government Operations and Politics,Strengthening Government Accountability,Democracy Reform
5099,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5100,Government Operations and Politics,Misc.,Misc.
5101,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Access
5102,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5103,Government Operations and Politics,Strengthening Government Accountability,Democracy Protection
5104,Government Operations and Politics,Strengthening Government Accountability,Democracy Protection
5105,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5106,Government Operations and Politics,Strengthening Government Accountability,Democracy Protection
5107,Government Operations and Politics,Voting Rights Expansion,Voting Rights Expansion
5108,Government Operations and Politics,Voting Rights Expansion,Voting Rights Reform
5109,Government Operations and Politics,Strengthening Government Accountability,Presidential Accountability
5110,Government Operations and Politics,Strengthening Government Accountability,Constitutional Overreach
5111,Government Operations and Politics,Strengthening Government Accountability,Presidential Accountability
5112,Government Operations and Politics,Strengthening Election Integrity,Foreign Influence in Ballot Initiatives
5113,Government Operations and Politics,Misc.,Misc.
5114,Government Operations and Politics,Strengthening Government Accountability,Democracy Protection
5115,Government Operations and Politics,Strengthening Government Accountability,Candidate Transparency
5116,Government Operations and Politics,Strengthening Government Accountability,Oversight of President Trump
5117,Government Operations and Politics,Strengthening Government Accountability,Government Accountability Reform
5118,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5119,Government Operations and Politics,Strengthening Government Accountability,Congressional Oversight Authority
5120,Government Operations and Politics,Strengthening Government Accountability,Electoral Reform
5121,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5122,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5123,Government Operations and Politics,Strengthening Government Accountability,Government Transparency
5124,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5125,Government Operations and Politics,Strengthening Government Accountability,Pardon Power Reform
5126,Government Operations and Politics,Strengthening Government Accountability,Federal Election Powers
5127,Government Operations and Politics,Strengthening Government Accountability,Transparency in Elections
5128,Government Operations and Politics,Strengthening Government Accountability,Presidential Accountability
5129,Government Operations and Politics,Strengthening Government Accountability,Democracy Protection
5130,Government Operations and Politics,Strengthening Government Accountability,Democracy Reform
5131,Government Operations and Politics,Strengthening Government Accountability,Executive Accountability
5132,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5133,Government Operations and Politics,Strengthening Government Accountability,Inspector General Reform
5134,Government Operations and Politics,Strengthening Government Accountability,Presidential Accountability
5135,Government Operations and Politics,Strengthening Government Accountability,Protecting the Future
5136,Government Operations and Politics,Strengthening Government Accountability,Impeachment Reform
5137,Government Operations and Politics,Strengthening Government Accountability,Democracy Reform
5138,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5139,Government Operations and Politics,Strengthening Government Accountability,National Security Accountability
5140,Government Operations and Politics,Strengthening Government Accountability,Government Accountability Oversight
5141,Government Operations and Politics,Strengthening Government Accountability,GAO Oversight Oversight
5142,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5143,Government Operations and Politics,Increasing Sanctions on Russia,Russian Sanctions
5144,Government Operations and Politics,Increasing Sanctions on Russia,Russian Sanctions on Russia
5145,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5146,Government Operations and Politics,Increasing Sanctions on Russia,Russian Sanctions
5147,Government Operations and Politics,Increasing Sanctions on Russia,Russian Sanctions
5148,Government Operations and Politics,Strengthening Government Accountability,Government Accountability Reform
5149,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Access
5150,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Access
5151,Law,Increasing Judicial Transparency,District of Columbia Courts Home Rule
5152,Health,Expanding Health Equity Initiatives,Obesity Treatment Access
5153,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Military Justice Reform
5154,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Military Justice Reform
5155,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Defense Accountability Reform
5156,Congress,Misc.,Misc.
5157,Congress,Misc.,Misc.
5158,Congress,Increasing Government Accountability,Parliamentary Accountability
5159,Congress,Misc.,Misc.
5160,Congress,Misc.,Misc.
5161,Congress,Misc.,Misc.
5162,Congress,Misc.,Misc.
5163,Congress,Misc.,Misc.
5164,Congress,Increasing Government Accountability,Legislative Powers
5165,Congress,Increasing Government Accountability,Reporter Contempt of Congress
5166,Congress,Increasing Government Accountability,Testimony Oversight Standards
5167,Congress,Misc.,Misc.
5168,Congress,Increasing Government Accountability,Executive Branch Obstruction
5169,Congress,Misc.,Misc.
5170,Congress,Misc.,Misc.
5171,Congress,Misc.,Misc.
5172,Congress,Increasing Government Accountability,Defending the Constitution
5173,Congress,Increasing Government Accountability,Political Witch Hunts
5174,Congress,Misc.,Misc.
5175,Congress,Misc.,Misc.
5176,Congress,Increasing Government Accountability,Constitutional Accountability
5177,Congress,Strengthening Capitol Security Measures,Capitol Security Accountability
5178,Congress,Misc.,Misc.
5179,International Affairs,Increasing Foreign Aid Accountability,Foreign Aid Accountability
5180,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Anti-Muslim Bias
5181,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Anti-Islamophobia Legislation
5182,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Anti-Semitism Nominations
5183,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Anti-Muslim Prejudice
5184,International Affairs,Misc.,Misc.
5185,International Affairs,Misc.,Misc.
5186,International Affairs,Misc.,Misc.
5187,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Prevention
5188,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5189,International Affairs,Increasing Foreign Aid Accountability,Gas Price Increase
5190,International Affairs,Misc.,Misc.
5191,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Prevention
5192,International Affairs,Misc.,Misc.
5193,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Muslim Bias Prevention
5194,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Hate Crime Statistics
5195,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Anti-Islamophobia Legislation
5196,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5197,International Affairs,Increasing Foreign Aid Accountability,Energy Crisis Cuts
5198,International Affairs,Misc.,Misc.
5199,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Prevention
5200,International Affairs,Expanding Human Rights Protections,Human Rights Accountability
5201,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5202,International Affairs,Expanding Human Rights Protections,Uyghur Rights Protection
5203,International Affairs,Expanding Human Rights Protections,Human Rights Protections
5204,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5205,Congress,Misc.,Misc.
5206,Congress,Misc.,Misc.
5207,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5208,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Anti-Muslim Bigotry
5209,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Anti-Muslim Persecution
5210,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Anti-Muslim Violence
5211,International Affairs,Expanding Human Rights Protections,Religious Persecution Protection
5212,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Anti-Semitism Legislation
5213,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5214,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5215,International Affairs,Misc.,Misc.
5216,International Affairs,Expanding Human Rights Protections,Speech Rights Protection
5217,International Affairs,Expanding Human Rights Protections,Human Rights Protections
5218,International Affairs,Expanding Human Rights Protections,Religious Freedom
5219,International Affairs,Increasing Foreign Aid Accountability,State Department Budget Cuts
5220,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5221,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5222,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5223,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Anti-Muslim Hate
5224,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Anti-Muslim Violence
5225,International Affairs,Expanding Human Rights Protections,Free Speech Rights
5226,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5227,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Prevention
5228,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Anti-Muslim Hate Crimes
5229,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5230,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Prevention
5231,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5232,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5233,International Affairs,Combating Islamophobia and Anti-Muslim Sentiment,Islamophobia Legislation
5234,International Affairs,Expanding Human Rights Protections,Discrimination Prevention
5235,Congress,Strengthening Capitol Security Measures,Capitol Police Authority
5236,International Affairs,Misc.,Misc.
5237,International Affairs,Misc.,Misc.
5238,International Affairs,Expanding Human Rights Protections,Human Rights Violations
5239,International Affairs,Misc.,Misc.
5240,International Affairs,Expanding Human Rights Protections,Human Rights Protections
5241,International Affairs,Expanding Human Rights Protections,Uyghur Human Rights Legislation
5242,International Affairs,Expanding Human Rights Protections,Uyghur Human Rights
5243,International Affairs,Expanding Human Rights Protections,Human Rights Accountability
5244,International Affairs,Misc.,Misc.
5245,Armed Forces and National Security,Increasing Environmental Funding,Tornado Relief Efforts
5246,Armed Forces and National Security,Misc.,Misc.
5247,Armed Forces and National Security,Misc.,Misc.
5248,Armed Forces and National Security,Increasing Military Funding,Military Funding Reform
5249,Armed Forces and National Security,Military Accountability Measures,Defense Authorization Bill
5250,Armed Forces and National Security,Military Accountability Measures,Military Justice Reform
5251,Armed Forces and National Security,Increasing Military Funding,Military Funding
5252,Government Operations and Politics,Misc.,Misc.
5253,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Access
5254,Armed Forces and National Security,Expanding Veteran Benefits Access,D.C. Military Residency Requirements
5255,Agriculture and Food,Increasing Food Accessibility,Federal Funding Equity
5256,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Protection
5257,Government Operations and Politics,Voting Rights Expansion,Voting Rights Expansion
5258,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Expansion
5259,Public Lands and Natural Resources,Expanding National Heritage Protections,National Monument Expansion
5260,Emergency Management,Increasing Homeland Security Accountability,Homeland Security Accountability
5261,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5262,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Education Assistance
5263,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Equity
5264,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
5265,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Expansion
5266,Armed Forces and National Security,Misc.,Misc.
5267,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
5268,Armed Forces and National Security,Military Accountability Measures,Military Recruitment Expansion
5269,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran GI Bill Access
5270,Armed Forces and National Security,Increasing Military Funding,Military Funding
5271,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
5272,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
5273,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Expansion
5274,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
5275,Armed Forces and National Security,Enhancing Toxic Exposure Prevention,Toxic Exposure Prevention
5276,Armed Forces and National Security,Military Accountability Measures,Budget Accountability
5277,Armed Forces and National Security,Military Accountability Measures,Military Accountability
5278,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
5279,Armed Forces and National Security,Misc.,Misc.
5280,Armed Forces and National Security,Expanding Veterans' Mental Health Services,Veterans' Mental Health Support
5281,Armed Forces and National Security,Expanding Veteran Support Services,Veteran Support Services
5282,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
5283,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
5284,Armed Forces and National Security,Misc.,Misc.
5285,Armed Forces and National Security,Misc.,Misc.
5286,Armed Forces and National Security,Misc.,Misc.
5287,Armed Forces and National Security,Misc.,Misc.
5288,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
5289,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
5290,Armed Forces and National Security,Misc.,Misc.
5291,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
5292,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans' Healthcare Access
5293,Armed Forces and National Security,Expanding Veteran Healthcare Access,Veteran Healthcare Access
5294,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans' Healthcare Access
5295,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
5296,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Expansion
5297,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
5298,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Expansion
5299,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
5300,Armed Forces and National Security,Misc.,Misc.
5301,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
5302,Government Operations and Politics,Voting Rights Expansion,Voting Rights Reform
5303,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
5304,Government Operations and Politics,Strengthening Voting Rights,Voting Rights Protection
5305,Government Operations and Politics,Increasing Election Security Measures,Election Security
5306,Government Operations and Politics,Strengthening Government Accountability,Legislative Oversight
5307,Government Operations and Politics,Misc.,Misc.
5308,Government Operations and Politics,Strengthening Government Accountability,Border Security
5309,Government Operations and Politics,Increasing Voter ID Requirements,Voter ID Laws
5310,Government Operations and Politics,Strengthening Voting Rights,Voting Rights Protection
5311,Government Operations and Politics,Misc.,Misc.
5312,Government Operations and Politics,Strengthening Government Accountability,Border Security
5313,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
5314,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
